,year,state,house,district,name,bio,substring1,substring2,substring3,substring4,substring5,substring6,substring7,substring8,substring9,substring10,substring11,substring12,substring13,substring14,substring15,substring16,substring17,substring18,substring19,substring20,substring21,substring22,substring23,substring24,substring25,substring26,substring27,substring28,substring29,substring30,substring31,substring32,substring33,substring34,substring35,substring36,substring37,substring38,substring39,substring40,substring41,substring42,substring43,substring44,substring45,substring46,substring47,substring48,substring49,substring50,substring51,substring52,substring53,substring54,substring55,substring56,substring57,substring58,substring59,substring60,substring61,substring62,substring63,substring64,substring65,substring66,substring67,substring68,substring69,substring70,substring71,substring72,substring73,substring74,substring75,substring76,substring77,substring78,substring79,substring80,substring81,substring82,substring83,substring84,substring85,substring86,substring87,substring88,substring89,substring90,substring91,substring92,substring93,substring94,substring95,substring96,substring97,substring98,substring99,substring100,fips1,error1,fips2,error2,fips3,error3,fips4,error4,fips5,error5,fips6,error6,fips7,error7,fips8,error8,fips9,error9,fips10,error10,fips11,error11,fips12,error12,fips13,error13,fips14,error14,fips15,error15,fips16,error16,fips17,error17,fips18,error18,fips19,error19,fips20,error20,fips21,error21,fips22,error22,fips23,error23,fips24,error24,fips25,error25,fips26,error26,fips27,error27,fips28,error28,fips29,error29,fips30,error30,fips31,error31,fips32,error32,fips33,error33,fips34,error34,fips35,error35,fips36,error36,fips37,error37,fips38,error38,fips39,error39,fips40,error40,fips41,error41,fips42,error42,fips43,error43,fips44,error44,fips45,error45,fips46,error46,fips47,error47,fips48,error48,fips49,error49,fips50,error50,fips51,error51,fips52,error52,fips53,error53,fips54,error54,fips55,error55,fips56,error56,fips57,error57,fips58,error58,fips59,error59,fips60,error60,fips61,error61,fips62,error62,fips63,error63,fips64,error64,fips65,error65,fips66,error66,fips67,error67,fips68,error68,fips69,error69,fips70,error70,fips71,error71,fips72,error72,fips73,error73,fips74,error74,fips75,error75,fips76,error76,fips77,error77,fips78,error78,fips79,error79,fips80,error80,fips81,error81,fips82,error82,fips83,error83,fips84,error84,fips85,error85,fips86,error86,fips87,error87,fips88,error88,fips89,error89,fips90,error90,fips91,error91,fips92,error92,fips93,error93,fips94,error94,fips95,error95,fips96,error96,fips97,error97,fips98,error98,fips99,error99,fips100,error100
0,2009,IL,H,18,AARON SCHOCK,"AARON SCHOCK, Republican, of Peoria, IL; born in Morris, MN, May 28, 1981; B.S. in Finance, Bradley University, Peoria, IL, 2002; professional: President of Peoria Board of Education, youngest school board president in history; Illinois House of Representatives 2005-09, Director of Development for Petersen Companies of Peoria, 2007; awards: named one of Peoria's 40 Leaders Under 40, 2004; Peoria Jaycees Good Government Award, 2004; Richard Mautino Excellence in Government Award, 2005; Community Workshop and Training Center Advocacy Award, 2005; Guardian Angels Arc-Angel Award, 2005; Illinois Healthcare Association's Legislator of the Year, 2005-07; Illinois Long Term Care Association's Legislator of the Year Award, 2006; Life Services Network Legislator of the Year, 2006; Illinois Committee for Honest Government Outstanding Legislative and Constituent Service Award, 2007; religion: Christian; Deputy Republican Whip; Animal Protection Caucus; Community College Caucus; House Diversity and Innovation Caucus; House Rural Education Caucus; Congressional Hunger Caucus; Congressional Fire Services Caucus; Congressional Services Caucus; House Recycling Caucus; Republican Study Group, Tuesday Group; committees: Oversight and Government Reform; Small Business; Transportation and Infrastructure; elected to the 111th Congress on November 4, 2008.","AARON SCHOCK, Republican, of Peoria, IL"," born in Morris, MN, May 28, 1981"," B.S. in Finance, Bradley University, Peoria, IL, 2002"," professional: President of Peoria Board of Education, youngest school board president in history"," Illinois House of Representatives 2005-09, Director of Development for Petersen Companies of Peoria, 2007"," awards: named one of Peoria's 40 Leaders Under 40, 2004"," Peoria Jaycees Good Government Award, 2004"," Richard Mautino Excellence in Government Award, 2005"," Community Workshop and Training Center Advocacy Award, 2005"," Guardian Angels Arc-Angel Award, 2005"," Illinois Healthcare Association's Legislator of the Year, 2005-07"," Illinois Long Term Care Association's Legislator of the Year Award, 2006"," Life Services Network Legislator of the Year, 2006"," Illinois Committee for Honest Government Outstanding Legislative and Constituent Service Award, 2007", religion: Christian, Deputy Republican Whip, Animal Protection Caucus, Community College Caucus, House Diversity and Innovation Caucus, House Rural Education Caucus, Congressional Hunger Caucus, Congressional Fire Services Caucus, Congressional Services Caucus, House Recycling Caucus," Republican Study Group, Tuesday Group", committees: Oversight and Government Reform, Small Business, Transportation and Infrastructure," elected to the 111th Congress on November 4, 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,17143,,,No matched places from Google,17143,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,17167,,17167,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2004,CA,H,29,ADAM B. SCHIFF,"ADAM B. SCHIFF, Democrat, of Burbank, CA; born on June 20, 1960, in Framingham, MA; education: B.A., Stanford University, 1982; J.D., Harvard University, 1985; employment: Attorney; U.S. Attorney's Office, served as a criminal prosecutor; chosen by the Dept. of Justice to assist the Czechoslovakian government in reforming their criminal justice system; public service: elected to the California State Senate, 1996; involved in numerous community service[[Page 32]]activities; awards: Dept. of Justice Special Achievement Award; Council of State Governments Toll Fellowship; California League of High Schools Legislator of the Year; family: married to the former Eve Sanderson; children: Alexa; elected to the 107th Congress on November 7, 2000; reelected to each succeeding Congress.","ADAM B. SCHIFF, Democrat, of Burbank, CA"," born on June 20, 1960, in Framingham, MA"," education: B.A., Stanford University, 1982"," J.D., Harvard University, 1985", employment: Attorney," U.S. Attorney's Office, served as a criminal prosecutor", chosen by the Dept. of Justice to assist the Czechoslovakian government in reforming their criminal justice system," public service: elected to the California State Senate, 1996", involved in numerous community service[[Page 32]]activities, awards: Dept. of Justice Special Achievement Award, Council of State Governments Toll Fellowship, California League of High Schools Legislator of the Year, family: married to the former Eve Sanderson, children: Alexa," elected to the 107th Congress on November 7, 2000", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06037,,,No matched places from Google,,More than one matched place from Google,,No matched places from Google,,No matched places from Google,42101,,,No matched places from Google,06037,,,No matched places from Google,,No matched places from Google,,No matched places from Google,06059,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2009,FL,H,12,ADAM H. PUTNAM,"ADAM H. PUTNAM, Republican, of Bartow, FL; born in Bartow, FL, July 31, 1974; education: Bartow High School; University of Florida, B.S., Food and Resource Economics; professional: farmer; rancher; awards: Outstanding Male Graduate of the University of Florida; Who's Who in American Politics; organizations: Florida 4-H Foundation; Sheriff's Youth Villa Board of Associates; Chamber of Commerce; Polk County Farm Bureau; public service: Florida House of Representatives, 1996-2000; married: Melissa; committees: Financial Services; elected to the 107th Congress on November 7, 2000; reelected to each succeeding Congress.","ADAM H. PUTNAM, Republican, of Bartow, FL"," born in Bartow, FL, July 31, 1974", education: Bartow High School," University of Florida, B.S., Food and Resource Economics", professional: farmer, rancher, awards: Outstanding Male Graduate of the University of Florida, Who's Who in American Politics, organizations: Florida 4-H Foundation, Sheriff's Youth Villa Board of Associates, Chamber of Commerce, Polk County Farm Bureau," public service: Florida House of Representatives, 1996-2000", married: Melissa, committees: Financial Services," elected to the 107th Congress on November 7, 2000", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,,No matched places from Google,12105,,12001,,,No matched places from Google,,No matched places from Google,12001,,,No county matched to string from Google,12095,,,No matched places from Google,,No matched places from Google,19153,,12053,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2014,IL,H,16,ADAM KINZINGER,"ADAM KINZINGER, Republican, of Channahon, IL; born in Kankakee, IL, February 27, 1978; education: graduated, Normal Community West High School, 1996; B.S., Illinois State University, 2000; professional: McLean County Board, 1998-2003; Sales Representative, STL Technologies, 2000-03; United States Air National Guard, 2003-present, current rank: Major; religion: Protestant; single; Deputy Republican Whip; committees: Energy and Commerce; Foreign Affairs; elected to the 112th Congress on November 2, 2010; reelected to the 113th on November 6, 2012.","ADAM KINZINGER, Republican, of Channahon, IL"," born in Kankakee, IL, February 27, 1978"," education: graduated, Normal Community West High School, 1996"," B.S., Illinois State University, 2000"," professional: McLean County Board, 1998-2003"," Sales Representative, STL Technologies, 2000-03"," United States Air National Guard, 2003-present, current rank: Major", religion: Protestant, single, Deputy Republican Whip, committees: Energy and Commerce, Foreign Affairs," elected to the 112th Congress on November 2, 2010"," reelected to the 113th on November 6, 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,17091,,17113,,17113,,17113,,,No matched places from Google,55057,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2002,CA,H,27,ADAM SCHIFF,"ADAM SCHIFF, Democrat, of Burbank, CA; born on June 20, 1960, in Framingham, MA; education: B.A., Stanford University, 1982; J.D., Harvard University, 1985; employment: Attorney; U.S. Attorney's Office, served as a criminal prosecutor; chosen by the Dept. of Justice to assist the Czechoslovakian government in reforming their criminal justice system; public service: elected to the California State Senate, 1996; involved in numerous community service activities; awards: Dept. of Justice Special Achievement Award; Council of State Governments Toll Fellowship; California League of High Schools Legislator of the Year; family: married to the former Eve Sanderson; children: Alexa; elected to the 107th Congress on November 7, 2000.","ADAM SCHIFF, Democrat, of Burbank, CA"," born on June 20, 1960, in Framingham, MA"," education: B.A., Stanford University, 1982"," J.D., Harvard University, 1985", employment: Attorney," U.S. Attorney's Office, served as a criminal prosecutor", chosen by the Dept. of Justice to assist the Czechoslovakian government in reforming their criminal justice system," public service: elected to the California State Senate, 1996", involved in numerous community service activities, awards: Dept. of Justice Special Achievement Award, Council of State Governments Toll Fellowship, California League of High Schools Legislator of the Year, family: married to the former Eve Sanderson, children: Alexa," elected to the 107th Congress on November 7, 2000.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06037,,,No matched places from Google,,More than one matched place from Google,,No matched places from Google,,No matched places from Google,42101,,,No matched places from Google,06037,,,No matched places from Google,,No matched places from Google,,No matched places from Google,06059,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2014,WA,H,9,ADAM SMITH,"ADAM SMITH, Democrat, of Tacoma, WA; born in Washington, DC, June 15, 1965; education: graduated, Tyee High School, 1983; graduated, Fordham University, NY, 1987; law degree, University of Washington, 1990; admitted to the Washington Bar in 1991; professional: prosecutor for the city of Seattle; Washington State Senate, 1990-96; member: Kent Drinking Driver Task Force; board member, Judson Park Retirement Home; married: Sara Smith, 1993; committees: ranking member, Armed Services; elected to the 105th Congress; reelected to each succeeding Congress.","ADAM SMITH, Democrat, of Tacoma, WA"," born in Washington, DC, June 15, 1965"," education: graduated, Tyee High School, 1983"," graduated, Fordham University, NY, 1987"," law degree, University of Washington, 1990", admitted to the Washington Bar in 1991, professional: prosecutor for the city of Seattle," Washington State Senate, 1990-96", member: Kent Drinking Driver Task Force," board member, Judson Park Retirement Home"," married: Sara Smith, 1993"," committees: ranking member, Armed Services", elected to the 105th Congress, reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53033,,,No county matched to string from Google,,No matched places from Google,,More than one matched place from Google,53033,,,No matched places from Google,,More than one matched place from Google,53067,,,No matched places from Google,53033,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2011,NE,H,3,ADRIAN SMITH,"ADRIAN SMITH, Republican, of Gering, NE; born in Scotts Bluff, NE, December 19, 1970; education: graduated from Gering High School, Gering, NE, 1989; attended Liberty University, Lynchburg, VA; 1989-90; B.S., University of Nebraska, 1993; professional: business owner; teacher; Gering, NE, city council, 1994-98; member of the Nebraska state legislature, 1999-2007; committees: Ways and Means; elected to the 110th Congress on November 7, 2006; reelected to each succeeding Congress.","ADRIAN SMITH, Republican, of Gering, NE"," born in Scotts Bluff, NE, December 19, 1970"," education: graduated from Gering High School, Gering, NE, 1989"," attended Liberty University, Lynchburg, VA", 1989-90," B.S., University of Nebraska, 1993", professional: business owner, teacher," Gering, NE, city council, 1994-98"," member of the Nebraska state legislature, 1999-2007", committees: Ways and Means," elected to the 110th Congress on November 7, 2006", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31157,,,No matched places from Google,31157,,,No county matched to string from Google,,No matched places from Google,31109,,,No matched places from Google,,No matched places from Google,31157,,31109,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2009,MN,S,2,AL FRANKEN,"AL FRANKEN, Democrat, of Minneapolis, MN; raised in St. Louis Park, MN, born May 21, 1951; education: Harvard, Cambridge, MA, 1973; professional: comedy writer, author, and radio talk show host; has taken part in seven USO tours, visiting our troops overseas in Germany, Bosnia, Kosovo and Uzbekistan--as well as visiting Iraq, Afghanistan, and Kuwait four times; married: Franni Franken for 34 years; two children; committees: Health, Education, Labor, and Pension; Judiciary; Indian Affairs; Special Committee on Aging; elected to the 111th U.S. Senate on November 4, 2008.","AL FRANKEN, Democrat, of Minneapolis, MN"," raised in St. Louis Park, MN, born May 21, 1951"," education: Harvard, Cambridge, MA, 1973"," professional: comedy writer, author, and radio talk show host"," has taken part in seven USO tours, visiting our troops overseas in Germany, Bosnia, Kosovo and Uzbekistan--as well as visiting Iraq, Afghanistan, and Kuwait four times", married: Franni Franken for 34 years, two children," committees: Health, Education, Labor, and Pension", Judiciary, Indian Affairs, Special Committee on Aging," elected to the 111th U.S. Senate on November 4, 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched places from Google,27053,,25017,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2011,TX,H,9,AL GREEN,"AL GREEN, Democrat, of Houston, TX; born in New Orleans, LA, September 1, 1947; raised in Florida; education: Florida A&M University, Tallahassee, FL, 1966-71; attended Tuskegee University, Tuskegee, AL; J.D., Texas Southern University, Houston, TX, 1974; professional: co-founded and co-managed the law firm of Green, Wilson, Dewberry and Fitch; Justice of the Peace, Precinct 7, Position 2, 1977-2004; organizations: former president of the Houston NAACP; Houston Citizens Chamber of Commerce; awards: Distinguished Service Award, 1978; Black Heritage Society, Outstanding Leadership Award, 1981; American Federation of Teachers, Citation for Service as a ``Courageous Defender of Due Process for Educators,'' 1983; Ebony Magazine's 100 Most Influential Black People, 2006; and the NAACP Fort Bend Branch Mickey Leland Humanitarian Award, 2006; Texas Black Democrats' Profiles of Courage Award, 2007; the AFL-CIO MLK Drum Major Award for Service, 2007; committees: Financial Services; elected to the 109th Congress on November 2, 2004; reelected to each succeeding Congress.","AL GREEN, Democrat, of Houston, TX"," born in New Orleans, LA, September 1, 1947", raised in Florida," education: Florida A&M University, Tallahassee, FL, 1966-71"," attended Tuskegee University, Tuskegee, AL"," J.D., Texas Southern University, Houston, TX, 1974"," professional: co-founded and co-managed the law firm of Green, Wilson, Dewberry and Fitch"," Justice of the Peace, Precinct 7, Position 2, 1977-2004", organizations: former president of the Houston NAACP, Houston Citizens Chamber of Commerce," awards: Distinguished Service Award, 1978"," Black Heritage Society, Outstanding Leadership Award, 1981"," American Federation of Teachers, Citation for Service as a ``Courageous Defender of Due Process for Educators,'' 1983"," Ebony Magazine's 100 Most Influential Black People, 2006"," and the NAACP Fort Bend Branch Mickey Leland Humanitarian Award, 2006"," Texas Black Democrats' Profiles of Courage Award, 2007"," the AFL-CIO MLK Drum Major Award for Service, 2007", committees: Financial Services," elected to the 109th Congress on November 2, 2004", reelected to each succeeding Congress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48201,,,Census geocoder error,,No matched places from Google,12073,,01087,,48201,,,No matched places from Google,,No matched places from Google,48201,,48201,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,WV,H,1,ALAN B. MOLLOHAN,"ALAN B. MOLLOHAN, Democrat, of Fairmont, WV; born in Fairmont, May 14, 1943; son of former Congressman Robert H. Mollohan and Helen Holt Mollohan; education: graduated, Greenbrier Military School, Lewisburg, WV, 1962; A.B., College of William and Mary, Williamsburg, VA, 1966; J.D., West Virginia University College of Law, Morgantown, 1970; professional: captain, U.S. Army Reserves, 1970-83; attorney; admitted to the West Virginia bar, 1970 (commenced practice in Fairmont); admitted to the District of Columbia bar, 1975; religion: member, First Baptist Church, Fairmont; married: the former Barbara Whiting, 1976; children: Alan, Robert, Andrew, Karl and Mary Kathryn; committees: Appropriations; elected to the 98th Congress on November 2, 1982; reelected to each succeeding Congress.[[Page 286]]","ALAN B. MOLLOHAN, Democrat, of Fairmont, WV"," born in Fairmont, May 14, 1943", son of former Congressman Robert H. Mollohan and Helen Holt Mollohan," education: graduated, Greenbrier Military School, Lewisburg, WV, 1962"," A.B., College of William and Mary, Williamsburg, VA, 1966"," J.D., West Virginia University College of Law, Morgantown, 1970"," professional: captain, U.S. Army Reserves, 1970-83", attorney," admitted to the West Virginia bar, 1970 (commenced practice in Fairmont)"," admitted to the District of Columbia bar, 1975"," religion: member, First Baptist Church, Fairmont"," married: the former Barbara Whiting, 1976"," children: Alan, Robert, Andrew, Karl and Mary Kathryn", committees: Appropriations," elected to the 98th Congress on November 2, 1982", reelected to each succeeding Congress.[[Page 286]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54049,,,No matched places from Google,,No matched places from Google,54025,,,No county matched to string from Google,54061,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No county matched to string from Google,54049,,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,No matched places from Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
