ID	age	change_in_fam_comp	year	full_income	full_weights
4007	41	0	2001	55616	24.971001
4007	45	8	2005	62000	24.971001
4007	36	3	1996	23854	10.229
4007	37	0	1997	29304	24.971001
4007	39	0	1999	35616	24.971001
4008	36	1	2001	30160	15.433
4008	38	1	2003	20534	16.129999
4008	40	0	2005	17000	16.129999
4008	44	8	2009	32000	12.097
4008	46	2	2011	42504	16.129999
4008	21	5	1986	18580	23
4008	22	2	1987	8000	11
4008	23	0	1988	16397	11
4008	24	0	1989	23800	12.6
4008	25	0	1990	21500	12.621
4008	26	0	1991	23048	12.621
4008	27	0	1992	21000	12.621
4008	34	4	1999	41600	15.844
4031	41	3	2015	0	14.343
4031	21	5	1995	8157	17.552
4031	22	0	1996	7500	17.552
4031	23	1	1997	7512	17.613001
4031	25	0	1999	8000	17.613001
4033	26	5	2001	27000	11.175
4033	28	2	2003	28000	11.839
4033	30	0	2005	28500	23.677999
4033	32	0	2007	35000	25.280001
4033	34	0	2009	32000	25.280001
4034	25	1	2001	23000	9.9309998
4034	27	0	2003	25000	21.098
4034	29	0	2005	19500	21.098
4034	33	8	2009	11000	21.098
4034	37	8	2013	7000	10.549
4034	39	1	2015	32000	14.065
4034	21	5	1997	14000	9.9309998
4034	23	0	1999	6000	9.9309998
4035	24	0	2001	20000	17.704
4035	28	8	2005	36000	17.704
4035	32	8	2009	60752	8.8520002
4035	20	5	1997	13200	17.704
4035	22	0	1999	12000	17.704
4036	26	8	2005	62600	8.4370003
4036	20	3	1999	20000	8.0150003
4038	22	8	2009	31300	17.025999
4038	24	0	2011	13450	17.025999
4038	25	0	2013	3450	17.025999
4041	18	5	2011	8088	12.092
4175	41	0	2001	36400	0
4175	43	0	2003	39000	0
4175	25	6	1985	44957	11
4175	26	0	1986	44000	11
4175	27	0	1987	49000	11
4175	28	1	1988	52992	11
4175	29	0	1989	51000	12.6
4175	30	0	1990	42000	12.621
4175	31	0	1991	38000	12.621
4175	32	0	1992	40000	12.621
4175	33	0	1993	43000	10.229
4175	34	0	1994	54998	10.229
4175	35	0	1995	53001	10.229
4175	37	8	1997	35000	0
4175	39	0	1999	36000	0
4179	27	3	1993	7500	10.573
4179	28	0	1994	6686	9.8050003
4179	28	0	1995	3999	9.8050003
4179	29	0	1996	8099	9.8050003
4179	30	0	1997	5199.8	11.93
4180	22	3	2007	4049	14.763
4180	24	1	2009	14850	13.128
4180	28	3	2013	25140	10.75
4181	18	6	1991	17500	7.4860001
4181	19	0	1992	13326	7.4860001
4188	43	0	2001	91000	19.566
4188	38	4	1996	67996	11.953
4188	39	1	1997	140000	13.044
4188	41	0	1999	81000	19.566
4190	26	8	2001	23000	0
4190	28	1	2003	16800	4.2399998
4190	22	6	1997	10000	8.0150003
4193	31	4	2001	46001	8.0150003
4193	33	1	2003	68707	8.4219999
4195	28	4	2001	31400	13.21
4195	30	0	2003	33950	13.898
4195	32	0	2005	33768	13.898
4195	34	0	2007	33118	14.793
4195	37	0	2009	35310	14.793
4195	38	1	2011	30201	12.834
4195	41	0	2013	36400	12.834
4196	26	6	2003	50000	9.2550001
4196	28	0	2005	15000	9.2550001
4196	30	2	2007	29400	4.9260001
4196	32	0	2009	90000	4.9260001
4196	34	0	2011	29000	5.2979999
4196	36	0	2013	80000	5.2979999
4197	33	8	2009	125000	8.434
4197	37	8	2013	71200	8.434
4197	38	0	2015	35000	8.4230003
4200	21	4	2013	23994	12.092
4201	29	6	2011	16200	12.393
4201	32	1	2013	24000	12.393
4201	34	0	2015	27000	13.873
4202	29	4	2011	56126	10.75
4204	33	4	2015	78633	12.101
4205	61	9	2015	8796	8.9180002
5003	38	0	2001	75000	22.219999
5003	41	0	2003	56000	23.444
5003	42	1	2005	34000	23.473
5003	45	1	2007	33000	25.066
5003	46	0	2009	32000	25.066
5003	49	1	2011	32000	27.274
5003	51	0	2013	32433	27.274
