,Job,Minor Category,Major Category
0,zookeeper,Sciences,Non_Business
1,zoologis,Sciences,Non_Business
2,xylophonist,Arts,Non_Business
3,waiter,LowStat,Low_Status
4,waitress,LowStat,Low_Status
5,warden,Police,Military
6,warrior,Military,Military
7,watchmaker,Artisan,Non_Business
8,weaver,Artisan,Non_Business
9,welder,Artisan,Non_Business
10,woodcarver,Artisan,Non_Business
11,workman,Other_Unsure,Non_Business
12,wrangler,Agriculture,Non_Business
13,writer,Literary,Non_Business
14,valet,LowStat,Low_Status
15,veteran,Military,Military
16,veterinarian,Medical,Non_Business
17,vicar,Religion,Non_Business
18,violinist,Arts,Non_Business
19,music,Arts,Non_Business
20,businessman,Business,Business
21,yodeler,Arts,Non_Business
22,sports,Sports,Non_Business
23,umpire,Sports,Non_Business
25,usher,Arts,Non_Business
26,tailor,Artisan,Non_Business
27,tax collector,Finance_Econ,Business
28,taxi driver,Travel,Non_Business
29,taxidermist,Artisan,Non_Business
30,teacher,Academia,Non_Business
31,technician,Sciences,Non_Business
32,tennis player,Sports,Non_Business
33,test pilot,Military,Military
34,tiler,Artisan,Non_Business
35,toolmaker,Artisan,Non_Business
36,trader,Finance_Econ,Business
37,trainer,Other_Unsure,Non_Business
38,translator,International,Non_Business
39,trash collector,LowStat,Low_Status
40,travel agent,Travel,Non_Business
41,treasurer,Finance_Econ,Business
42,truck driver,Travel,Non_Business
43,tutor,Academia,Non_Business
44,typist,LowStat,Low_Status
45,sailor,Travel,Non_Business
46,salesperson,LowStat,Low_Status
47,samurai,Military,Military
48,saxophonist,Arts,Non_Business
49,scholar,Academia,Non_Business
50,scientist,Sciences,Non_Business
51,scout,Military,Military
52,scuba diver,Sports,Non_Business
53,seamstress,Artisan,Non_Business
54,security guard,Police,Military
56,sheriff,Police,Military
57,singer,Arts,Non_Business
58,smith,Artisan,Non_Business
59,socialite,Other_Unsure,Non_Business
60,soldier,Military,Military
61,spy,Military,Military
63,statistician,Sciences,Non_Business
64,stockbroker,Finance_Econ,Business
65,street sweeper,LowStat,Low_Status
66,student,Other_Unsure,Non_Business
67,surgeon,Medical,Non_Business
68,surveyor,Constructions,Low_Status
69,swimmer,Sports,Non_Business
70,radiologist,Medical,Non_Business
71,rancher,Agriculture,Non_Business
72,ranger,Military,Military
73,real estate,Real Estate,Business
74,receptionist,LowStat,Low_Status
75,referee,Sports,Non_Business
76,registrar,LowStat,Non_Business
77,reporter,Literary,Non_Business
78,agricultural,Agriculture,Non_Business
79,researcher,Academia,Non_Business
80,restaurateur,Business,Business
81,retailer,LowStat,Low_Status
82,retiree,Other_Unsure,Non_Business
83,science,Sciences,Non_Business
84,quarterback,Sports,Non_Business
85,quilter,Arts,Non_Business
